street,house_number,BEZ,HA_NAME,BAUJAHR,ARCHITEKT,GESCH_ANZ,L_NUTZUNG,L_BAUTYP,L_BAUJ,SHAPE
Rembrandtstraße,12.0,2,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.371119167091912 48.22105921539838)
Wiedner Hauptstraße,83.0,5,,,,5.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.364509392889676 48.18749660808119)
Stromstraße,28.0,20,,,,1.0,betriebliche Nutzung,11.-Einkaufszentren,nach 1945,POINT (16.376701294813692 48.238895095592994)
Babenbergerstraße,9.0,1,Reisebüro KUONI,1869.0,Baumgartner Anton,6.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1860-1883,POINT (16.361896809194356 48.20256503831456)
Spengergasse,23.0,5,,,,5.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.357621062212687 48.18456747009942)
Skodagasse,15.0,8,,1912.0,Mogyorosy Arpad,5.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1884-1918,POINT (16.346746164066534 48.21400932912394)
Lainzer Straße,127.0,13,sogen. Villa Dollarprinzessin,,Weilguny,1.0,betriebliche Nutzung,Keine Angabe,1781-1848,POINT (16.28418265402934 48.17798663280769)
Novaragasse,28.0,2,,,,6.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.385060746718032 48.21876499797249)
Hummelgasse,50.0,13,,1912.0,Anton Schwertmann,3.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1884-1918,POINT (16.281931984917822 48.18499224453054)
Auhofstraße,98.0,13,,1890.0,Anton Trittsam,2.0,betriebliche Nutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,Keine Angabe,POINT (16.278920491874423 48.19018960494806)
Mundygasse,7.0,10,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.383311288615452 48.17581375810604)
Benedikt-Schellinger-Gasse,23.0,15,,,,4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.32885890341906 48.19871976121061)
Rosensteingasse,81.0,17,,,,4.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.3279173812574 48.222402163844464)
Herbststraße,59.0,16,,,,4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.323570319105933 48.20676509698147)
Plachygasse,25.0,17,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.281506288404888 48.22730300292103)
Rosenackerstraße,23.0,17,Freiheitssiedlung,1954.0,"Sekler Eduard F., Lax Franz und Prehsler Herbert",0.0,keine Angabe,Keine Angabe,1946-1976,POINT (16.30200396418339 48.224637507691426)
Haidmannsgasse,6.0,15,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.33628113797823 48.193619295882606)
Iglaseegasse,31.0,19,,,,5.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",nach 1945,POINT (16.346834074715403 48.24713499782483)
Ruckergasse,57.0,12,,,,5.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,nach 1945,POINT (16.326474359920432 48.17608230950936)
Salzachstraße,33.0,20,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.38957300611909 48.233430615680554)
Pezzlgasse,35.0,17,,,,4.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.333298916181146 48.21956578722614)
Funkgasse,2.0,21,,,,1.0,Wohnnutzung,W1.1.-bäuerl.dom.Baustrukt.-Streck- u. Hakenhof,1848 -1918,POINT (16.408975278559005 48.28058468355275)
Kroneggergasse,6.0,19,,,,1.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.334811209937957 48.24770718358077)
Dianagasse,4.0,3,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.391390331564978 48.210376321224274)
Felbigergasse,73.0,14,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.28712326345816 48.19591408718726)
Schwindgasse,14.0,4,,1879.0,Tischler Ludwig,5.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1860-1883,POINT (16.373039483349494 48.19730941347445)
Speisinger Straße,67.0,13,,,,3.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.28333013813505 48.167122995789114)
Trazerberggasse,63.0,13,,1953.0,,0.0,keine Angabe,Keine Angabe,1946-1976,POINT (16.274173728848755 48.18524112531184)
Vorgartenstraße,107.0,20,,,,7.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.391251559651437 48.233268755375235)
Petersplatz,6.0,1,,1697.0,Montani Gabriele,,keine Angabe,Keine Angabe,1683-1740,POINT (16.36940143264292 48.2094583058906)
Hoher Markt,3.0,1,,1956.0,Leitner Josef,7.0,betriebliche Nutzung,4.-Bauten der öffentl.u.privaten Repräsentation u.Verwaltung,1946-1976,POINT (16.37268341676036 48.21073029918195)
Tiefendorfergasse,5.0,14,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.301341820369085 48.198775161754014)
Raffaelgasse,2.0,20,,1875.0,,4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1860-1883,POINT (16.372518910468806 48.23054884720506)
Lassallestraße,32.0,2,,,,6.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.399823596701026 48.22269346194357)
Königsklostergasse,10.0,6,,,,8.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.359527526631297 48.19824906320782)
Thelemangasse,3.0,17,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.33930380766943 48.213990080233046)
Veronikagasse,8.0,17,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.338625709328813 48.212900389478094)
Sieveringer Straße,164.0,19,,,,1.0,betriebliche Nutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1741-1780,POINT (16.3172940693162 48.25425716033416)
Triester Straße,58.0,10,,1970.0,,1.0,Sonstige,12.-Gewerbebetriebe,1946-1976,POINT (16.349492328500144 48.16927241048137)
Geyschlägergasse,11.0,15,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.33472370223338 48.2030245929073)
Haberlgasse,6.0,16,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.328641626860435 48.205367902376175)
Hernalser Hauptstraße,182.0,17,,,,4.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.31493420121664 48.22393941912462)
Porzellangasse,7.0,9,,1905.0,Goldschläger Julius,5.0,Wohnnutzung,W3.9.-Mieth.s.d.Gründerzeit-Straßenhof,1884-1918,POINT (16.362632619756127 48.219125967959904)
Huttengasse,59.0,16,,,,2.0,betriebliche Nutzung,13.-Industriebauten,nach 1945,POINT (16.309872521290092 48.20956399260275)
Weitmosergasse,18.0,10,,1925.0,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919-1945,POINT (16.35562586692275 48.165732227162245)
Buchleitengasse,25.0,18,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1848 -1918,POINT (16.310903547486 48.237529915623114)
Bertlgasse,5.0,21,,,,2.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.407249016657584 48.25676675166462)
Tiefer Graben,19.0,1,,1900.0,Bressler Emil und Wittrisch,6.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1884-1918,POINT (16.367949469922827 48.212403725247476)
Oeverseestraße,6.0,15,Siedlungsanlage Schmelz,1921.0,Hugo Mayer,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919-1945,POINT (16.314727056053133 48.20267394145707)
Gersthofer Straße,145.0,18,,,,4.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.31852300169053 48.23823666943936)
Felix-Mottl-Straße,24.0,19,,1893.0,Franz Zeller,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1884-1918,POINT (16.34312477678301 48.234860957334256)
Margaretenstraße,65.0,5,,,,6.0,öffentliche Einrichtung,5.-Bauten der Erziehung und Bildung,nach 1945,POINT (16.360457894080803 48.19236387356426)
Scheibenbergstraße,15.0,18,,,,0.0,keine Angabe,Keine Angabe,Keine Angabe,POINT (16.317389460118257 48.233117573953145)
Columbusgasse,25.0,10,,,,0.0,Wohnnutzung,Keine Angabe,1848 -1918,POINT (16.375150820343613 48.17778841203727)
Mariahilfer Straße,176.0,15,,,,4.0,betriebliche Nutzung,6.-Bauten der öffentlichen und privaten Wirtschaft,nach 1945,POINT (16.330477545817537 48.19166735306437)
Sackgasse,1.0,14,,,,,keine Angabe,Keine Angabe,Vor 1683,POINT (16.196779513290963 48.22848482410413)
Zeillergasse,7.0,17,,,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.311985040848374 48.22333773238792)
Veitingergasse,58.0,13,,,,0.0,Sonstige,Keine Angabe,Keine Angabe,POINT (16.27451322391975 48.17980802908813)
Ortliebgasse,48.0,17,,1912.0,Architekt Stadtbaumeister Johann Gross,5.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1884-1918,POINT (16.330255577760845 48.21790435750519)
Klimschgasse,38.0,3,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.39455134972148 48.193487270918546)
Vierthalergasse,22.0,12,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.333720768085826 48.177376731512595)
Kärchergasse,3.0,3,,,,6.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.39100078183745 48.1894392715019)
Andergasse,26.0,17,,,,1.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",Vor 1683,POINT (16.294375939928926 48.226473019348354)
Humboldtplatz,5.0,10,,,,0.0,Wohnnutzung,Keine Angabe,1848 -1918,POINT (16.377612468553593 48.17912421939752)
Obere Donaustraße,79.0,2,,,,5.0,Wohnnutzung,W3.8.-Mieth.s.d.Gründerzeit-Hoftrakt,1848 -1918,POINT (16.375760151179207 48.215557465735436)
Breitenfurter Straße,248.0,23,,1510.0,Bauer Leonhard,3.0,Wohnnutzung,Keine Angabe,Vor 1683,POINT (16.294955545765696 48.1458184796569)
Manowardagasse,3.0,23,,,,2.0,Wohnnutzung,W2.5.-Bürgerhaus-Paläste,1848 -1918,POINT (16.26117482510132 48.133794959828556)
Amortgasse,1.0,14,Zeiselwagen,,,5.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.308613693268626 48.19398697366839)
Ottakringer Straße,34.0,17,,,,7.0,Wohnnutzung,6.-Bauten der öffentlichen und privaten Wirtschaft,nach 1945,POINT (16.336528524971445 48.21494403311643)
Reinlgasse,17.0,14,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.31163573252739 48.19525660370958)
Michaelerstraße,20.0,18,,,,2.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.34648964293305 48.229100390083254)
Sternwartestraße,25.0,18,,1912.0,unbekannt,4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.345903432280554 48.22964210103926)
Franz-Glaser-Gasse,38.0,17,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",nach 1945,POINT (16.28782926225659 48.22401612299152)
Matznergasse,22.0,14,,,,4.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.304022818787182 48.19594253247016)
Pezzlgasse,14.0,17,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.33605660982578 48.21917587682653)
Kastnergasse,22.0,17,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.331298788705773 48.22191744244006)
Matznergasse,8.0,14,,,,4.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.304274122432997 48.19458462305817)
Lorenz-Weiß-Gasse,9.0,14,,,Martin Schmid,0.0,keine Angabe,Keine Angabe,1884-1918,POINT (16.269454284180057 48.20047214250669)
Simmeringer Hauptstraße,60.0,11,,,,4.0,Wohnnutzung,W3.8.-Mieth.s.d.Gründerzeit-Hoftrakt,1848 -1918,POINT (16.412393751761112 48.17703390885646)
Schrottgasse,1.0,3,,,,5.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.400263812394343 48.19488843101421)
Schönbrunner Straße,156.0,12,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.340243392436594 48.186537399056256)
Pfenninggeldgasse,5.0,16,,,,4.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,1919 - 1945,POINT (16.31654542065495 48.20992999801999)
Mollgasse,3.0,18,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,1919 - 1945,POINT (16.348717897747814 48.23060949413514)
Promenadegasse,17.0,17,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",1848 -1918,POINT (16.293285632160202 48.230153080755045)
Mollardgasse,53.0,6,,,,6.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.349416297629983 48.1898187022496)
Hietzinger Hauptstraße,55.0,13,,,,3.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1848 -1918,POINT (16.28707552408232 48.18702334303224)
Schreiberweg,35.0,19,,,,1.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.34575521492562 48.2575109407778)
Gymnasiumstraße,79.0,19,"Ehem. Cottage-Lyzeum, heute Hans-Kelsen-Institut",1908.0,,3.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1884-1918,POINT (16.348266127419013 48.23498436569539)
Lichtenfelsgasse,5.0,1,,1883.0,Neumann jun. Franz Xaver,5.0,Sonstige,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1860-1883,POINT (16.35670570120624 48.20991894365445)
Mariahilfer Straße,123.0,6,,,,9.0,betriebliche Nutzung,6.-Bauten der öffentlichen und privaten Wirtschaft,nach 1945,POINT (16.340951647805824 48.195607420751394)
Pötzleinsdorfer Straße,28.0,18,,1902.0,Schön Friedrich,3.0,keine Angabe,Keine Angabe,1884-1918,POINT (16.31513415807771 48.24015326485977)
Millergasse,3.0,6,,,,6.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.344996821691268 48.19100515751027)
Hahngasse,17.0,9,,1847.0,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1781-1848,POINT (16.365173683486315 48.22065383871564)
Kaiser-Ebersdorfer Straße,256.0,11,,,,1.0,betriebliche Nutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.459627948568205 48.159829546151016)
Fenzlgasse,65.0,14,,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1848 -1918,POINT (16.307052617860876 48.194912263774285)
Mühlfeldgasse,15.0,2,Haber-Hof,1891.0,Miksch und Niedzielski,5.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.389607932751982 48.221087895427466)
Siebertgasse,52.0,12,,,,5.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.345964021956494 48.18053836873757)
Seelosgasse,29.0,13,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919-1945,POINT (16.277779994325634 48.17617447490315)
Jägerhausgasse,10.0,12,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",nach 1945,POINT (16.306381356708044 48.16852073565984)
Alpengasse,2.0,10,,,,5.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,Keine Angabe,POINT (16.38177617805278 48.16764911151628)
Alpengasse,4.0,10,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.38156104157701 48.16760917662498)
Schopenhauerstraße,62.0,18,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.33901833690899 48.22471088441136)
Ober-Laaer Straße,102.0,10,,,,1.0,Wohnnutzung,W1.1.-bäuerl.dom.Baustrukt.-Streck- u. Hakenhof,vor 1848,POINT (16.39502941595311 48.138679601125105)
Böckhgasse,6.0,12,,,,6.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.337996310661307 48.18111065561024)
Mariengasse,36.0,17,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.321142249338255 48.21926681035526)
Herbeckstraße,19.0,18,,,,3.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",1848 -1918,POINT (16.326166237016725 48.23125573180018)
Seitenberggasse,73.0,16,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.315585758807522 48.222186133821516)
Peter-Jordan-Straße,159.0,18,,,,3.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.3210462056139 48.23881942597739)
Wallrißstraße,29.0,18,,,,1.0,Wohnnutzung,6.-Bauten der öffentlichen und privaten Wirtschaft,nach 1945,POINT (16.32513226290828 48.232232926749056)
Gablenzgasse,17.0,15,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.330860247218908 48.204331736163624)
Breitenseer Straße,76.0,14,,,,0.0,Sonstige,Keine Angabe,Keine Angabe,POINT (16.304296172957596 48.20241521917312)
Leopold-Kunschak-Platz,7.0,17,,,,1.0,öffentliche Einrichtung,2.-Bauten des Kultus,1848 -1918,POINT (16.31958241858534 48.22508456609393)
Klederinger Straße,121.0,10,,,,1.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",1919 - 1945,POINT (16.4183239014022 48.132222479093)
Delugstraße,5.0,19,,,,0.0,keine Angabe,Keine Angabe,Keine Angabe,POINT (16.3381703320809 48.24921262747427)
Maurer Lange Gasse,59.0,23,,,,2.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.268855260472076 48.14763414717015)
Sickingengasse,28.0,10,,1935.0,,1.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919-1945,POINT (16.353385007254825 48.16615715835763)
Grüngasse,22.0,5,,,,5.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.356381608397445 48.19430774397926)
Geusaugasse,8.0,3,,1894.0,Stadtbaumeister Leopold Nitter ? (unleserliche Handschrift),5.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.38982682936267 48.206228399723216)
Gersthofer Straße,112.0,18,,,,5.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.324783307447625 48.23795291365377)
Pokornygasse,27.0,19,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.35910910063059 48.24078492559947)
Haymerlegasse,2.0,16,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.326603534853888 48.205324763916536)
Lerchengasse,12.0,8,"Zur heiligen Anna, Nr. 14 : Zur Elster",,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.345940145259476 48.20833630064258)
Laxenburger Straße,91.0,10,,,,0.0,Wohnnutzung,Keine Angabe,1848 -1918,POINT (16.372286790299675 48.1721493077069)
Speisinger Straße,7.0,13,,,,1.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,vor 1848,POINT (16.285094086926705 48.17267561453221)
Franzensgasse,23.0,5,,,,3.0,betriebliche Nutzung,W2.3.-Bürgerhaus-Haus mit mittig liegendem Hof,vor 1848,POINT (16.35877727898817 48.1957183365119)
Lainzer Straße,24.0,13,,,,3.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.293174870519422 48.183959713234955)
Am Tabor,20.0,2,,,,5.0,Wohnnutzung,W3.8.-Mieth.s.d.Gründerzeit-Hoftrakt,1848 -1918,POINT (16.387068761750452 48.22385022991964)
Sechskrügelgasse,10.0,3,,1894.0,,6.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1884-1918,POINT (16.38885974879525 48.20162809229656)
Schubertgasse,22.0,9,,1874.0,Pery Franz,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1860-1883,POINT (16.352218908434605 48.22755398194828)
Kärntner Ring,6.0,1,,1860.0,,5.0,betriebliche Nutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1860-1883,POINT (16.370661968731774 48.201791750267304)
Schlachthausgasse,54.0,3,,,,6.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.40118763704111 48.1907548865556)
Schegargasse,13.0,19,,,,6.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.351085590312277 48.23531237446118)
Josef-Flandorfer-Straße,94.0,21,,,,1.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1848 -1918,POINT (16.40591758301623 48.3005367632243)
Schenkendorfgasse,28.0,21,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.40785138101104 48.25607678319641)
Hofzeile,10.0,19,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.351926168220377 48.24199949492307)
Wallensteinstraße,4.0,20,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.36689663392862 48.227775821056)
Weisselgasse,21.0,21,,,,6.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.402165580772426 48.260231783012884)
Apfelgasse,6.0,4,,1873.0,,5.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1860-1883,POINT (16.369261164319035 48.19745868297203)
Spitalgasse,25.0,9,,,,4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,vor 1848,POINT (16.352356997762296 48.22072444038044)
Grünbergstraße,25.0,12,,,,3.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1848 -1918,POINT (16.318302703848914 48.18102493114566)
Dominikanergasse,13.0,6,,,,5.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.34486512950961 48.190111508567796)
Schwarzenbergplatz,7.0,3,Haus der Wiener Kaufmannschaft,1913.0,Gotthilf Ernst,5.0,betriebliche Nutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.377289755423405 48.19862206209074)
Lerchenfelder Straße,143.0,7,,1902.0,Laske Oskar,5.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1884-1918,POINT (16.339611423920903 48.2082271289689)
Oesterleingasse,14.0,15,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.331032113275864 48.19282561903761)
Gallitzinstraße,73.0,16,Siedlung Strachant,1921.0,"Robert Hartinger, Silvio Mohr",0.0,keine Angabe,Keine Angabe,1919-1945,POINT (16.28731736313385 48.21559575135685)
Friedhofstraße,1.0,10,,,,1.0,betriebliche Nutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1848 -1918,POINT (16.400107610848817 48.13886385815256)
Landstraßer Gürtel,37.0,3,,,,7.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.389199058911597 48.188373158069716)
